rh_G_pariet_inf_Supramar	56.53	-31.724	30.782
rh_G_postcentral	45.826	-23.617	54.373
rh_G_precentral	40.651	-8.156	53.418
rh_G_precuneus	7.723	-59.505	46.822
rh_G_rectus	6.54	33.631	-20.422
rh_G_subcallosal	6.973	15.34	-11.926
rh_G_temporal_inf	52.585	-34.688	-23.578
rh_G_temporal_middle	59.788	-33.921	-12.556
rh_G_temp_sup_G_T_transv	48.106	-19.114	5.111
rh_G_temp_sup_Lateral	60.502	-12.851	-0.826
rh_G_temp_sup_Plan_polar	40.349	3.752	-24.303
rh_G_temp_sup_Plan_tempo	58.087	-34.708	15.135
rh_Lat_Fis_ant_Horizont	41.415	30.224	2.684
rh_Lat_Fis_ant_Vertical	45.448	21.327	9.036
rh_Lat_Fis_post	38.608	-28.952	19.349
rh_Pole_occipital	17.394	-94.985	-3.658
rh_Pole_temporal	38.295	5.021	-36.584
rh_S_calcarine	18.88	-62.432	5.357
rh_S_central	35.89	-19.96	46.41
rh_S_cingul_Marginalis	14.303	-37.59	45.995
rh_S_circular_insula_ant	29.668	23.312	-7.027
rh_S_circular_insula_inf	41.392	-12.95	-7.87
rh_S_circular_insula_sup	34.968	5.708	11.641
rh_S_collat_transv_ant	41.753	-20.346	-24.345
rh_S_collat_transv_post	25.687	-78.075	-8.216
rh_S_front_inf	38.7	23.248	20.601
rh_S_front_middle	28.296	40.93	22.288
rh_S_front_sup	22.69	18.148	44.827
rh_S_interm_prim_Jensen	47.946	-44.615	35.704
rh_S_intrapariet_and_P_trans	30.463	-56.032	42.846
rh_S_occipital_ant	42.996	-65.226	4.085
rh_S_oc_middle_and_Lunatus	32.802	-82.079	6.453
rh_S_oc_sup_and_transversal	27.821	-77.321	20.078
rh_S_oc_temp_lat	43.127	-50.709	-13.523
rh_S_oc_temp_med_and_Lingual	31.511	-46.227	-10.155
rh_S_orbital_H_Shaped	24.293	35.417	-11.756
rh_S_orbital_lateral	41.491	39.606	-1.682
rh_S_orbital_med_olfact	13.776	22.903	-16.664
rh_S_parieto_occipital	17.959	-65.668	24.804
rh_S_pericallosal	7.329	-8.271	25.71
rh_S_postcentral	36.512	-34.916	42.321
rh_S_precentral_inf_part	42.614	4.307	27.246
rh_S_precentral_sup_part	26.621	-8.68	51.56
rh_S_suborbital	8.781	42.174	-14.271
rh_S_subparietal	10.497	-50.187	36.502
rh_S_temporal_inf	53.027	-39.85	-15.285
rh_S_temporal_sup	48.138	-43.634	8.103
rh_S_temporal_transverse	51.842	-22.388	4.422
